X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,img,participant,age,gender,date,expName,psychopyVersion,OS,frameRate,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,img2,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,img3
0.0516,0.0526,space,3.5234,space,8.1853,0,0,0,16,1,exp_1_25/_f25_ffn_112_19_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,1,1,2,1,exp_1_25/_f25_ffn_112_5_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,2,2,10,1,exp_1_25/_f25_ffn_112_13_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,3,3,31,1,exp_1_25/_f25_ffn_112_34_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,4,4,6,1,exp_1_25/_f25_ffn_112_9_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,5,5,4,1,exp_1_25/_f25_ffn_112_7_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,6,6,29,1,exp_1_25/_f25_ffn_112_32_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,7,7,27,1,exp_1_25/_f25_ffn_112_30_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,8,8,11,1,exp_1_25/_f25_ffn_112_14_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,9,9,22,1,exp_1_25/_f25_ffn_112_25_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,10,10,30,1,exp_1_25/_f25_ffn_112_33_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,11,11,23,1,exp_1_25/_f25_ffn_112_26_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,12,12,35,1,exp_1_25/_f25_ffn_112_39_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,13,13,1,1,exp_1_25/_f25_ffn_112_2_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,14,14,33,1,exp_1_25/_f25_ffn_112_37_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,15,15,17,1,exp_1_25/_f25_ffn_112_20_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,16,16,21,1,exp_1_25/_f25_ffn_112_24_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,17,17,28,1,exp_1_25/_f25_ffn_112_31_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,18,18,39,1,exp_1_25/_f25_f00034898.jpg.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,19,19,13,1,exp_1_25/_f25_ffn_112_16_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,20,20,25,1,exp_1_25/_f25_ffn_112_28_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,21,21,19,1,exp_1_25/_f25_ffn_112_22_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,22,22,7,1,exp_1_25/_f25_ffn_112_10_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,23,23,3,1,exp_1_25/_f25_ffn_112_6_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,24,24,38,1,exp_1_25/_f25_f00034303.jpg.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,25,25,0,1,exp_1_25/_f25_ffn_112_1_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,26,26,9,1,exp_1_25/_f25_ffn_112_12_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,27,27,12,1,exp_1_25/_f25_ffn_112_15_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,28,28,8,1,exp_1_25/_f25_ffn_112_11_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,29,29,32,1,exp_1_25/_f25_ffn_112_35_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,30,30,26,1,exp_1_25/_f25_ffn_112_29_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,31,31,36,1,exp_1_25/_f25_ffn_112_40_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,32,32,15,1,exp_1_25/_f25_ffn_112_18_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,33,33,37,1,exp_1_25/_f25_f00014376.jpg.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
,,,,,,0,34,34,14,1,exp_1_25/_f25_ffn_112_17_900.ppm.jpg,001-june16,52,other,2021-06-16_11h27.40.089,final,2021.1.4,Win32,60.19020104,,,,,,,,,,,,,,,,
